关键词,出现次数,频率
服务,716,67.87
管家,464,43.98
房间,435,41.23
前台,311,29.48
早餐,297,28.15
热情,234,22.18
设施,227,21.52
贴心,193,18.29
环境,182,17.25
干净,177,16.78
周到,140,13.27
满意,135,12.8
推荐,114,10.81
装修,104,9.86
舒适,103,9.76
态度,100,9.48
工作人员,80,7.58
整洁,70,6.64
位置,62,5.88
安静,59,5.59
餐厅,56,5.31
惊喜,50,4.74
专业,47,4.45
万达,46,4.36
设备,45,4.27
高铁站,42,3.98
问题,42,3.98
停车,42,3.98
下午茶,42,3.98
温馨,41,3.89
床品,40,3.79
差,38,3.6
迷你吧,35,3.32
蛋烘糕,35,3.32
远,27,2.56
员工,23,2.18
贵,18,1.71
跷脚牛肉,18,1.71
空调,18,1.71
卫生间,17,1.61
不足,15,1.42
打车,13,1.23
酒吧,12,1.14
缺点,12,1.14
遗憾,9,0.85
交通,9,0.85
电视,6,0.57
中餐厅,5,0.47
吵,4,0.38
慢,3,0.28
